20180327 112417.886|main|INFO |xiyj.ths.App2  |main      #12| Entering....
20180327 115556.492|main|INFO |xiyj.ths.App2  |main      #12| Entering....
20180327 115556.496|main|INFO |xiyj.ths.App2  |main      #14| setup part, codes, columns, group_size
20180327 115556.496|main|INFO |xiyj.ths.App2  |main      #16| start long run dbWorker backend thread for DB/table connection/query/update
20180327 115556.497|main|INFO |xiyj.ths.App2  |main      #17| using dbLock for sync
20180327 115556.497|main|INFO |xiyj.ths.App2  |main      #18| wait for dbWorker thread populate ordered oneMinues list
20180327 115556.497|main|INFO |xiyj.ths.App2  |main      #20| sleep wait and loop until hit one point in tradingMinutes
20180327 115556.497|main|INFO |xiyj.ths.App2  |main      #21| xxx
20180327 115556.498|main|INFO |xiyj.ths.App2  |main      #22| xxx
20180327 115556.498|main|INFO |xiyj.ths.App2  |main      #23| xxx
20180327 115556.498|main|INFO |xiyj.ths.App2  |main      #24| xxx
20180327 115556.498|main|INFO |xiyj.ths.App2  |main      #25| xxx
20180327 115556.498|main|INFO |xiyj.ths.App2  |main      #26| xxx
20180327 115556.499|main|INFO |xiyj.ths.App2  |main      #27| xxx
20180327 115556.499|main|INFO |xiyj.ths.App2  |main      #28| xxx
20180327 115556.499|main|INFO |xiyj.ths.App2  |main      #29| xxx
20180327 115556.499|main|INFO |xiyj.ths.App2  |main      #30| xxx
20180327 122950.580|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 122950.583|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 122950.583|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 122950.584|main|INFO |xiyj.ths.App2  |run01     #24| sleep wait and loop until hit one point in tradingMinutes
20180327 122950.584|main|INFO |xiyj.ths.App2  |run01     #27| index 0, date : Tue Mar 27 12:38:50 MDT 2018
20180327 122950.584|main|INFO |xiyj.ths.App2  |run01     #27| index 1, date : Tue Mar 27 12:38:50 MDT 2018
20180327 122950.584|main|INFO |xiyj.ths.App2  |run01     #27| index 2, date : Tue Mar 27 12:38:50 MDT 2018
20180327 122950.584|main|INFO |xiyj.ths.App2  |run01     #27| index 3, date : Tue Mar 27 12:38:50 MDT 2018
20180327 122950.585|main|INFO |xiyj.ths.App2  |run01     #27| index 4, date : Tue Mar 27 12:38:50 MDT 2018
20180327 122950.585|main|INFO |xiyj.ths.App2  |run01     #27| index 5, date : Tue Mar 27 12:38:50 MDT 2018
20180327 122950.585|main|INFO |xiyj.ths.App2  |run01     #27| index 6, date : Tue Mar 27 12:38:50 MDT 2018
20180327 122950.585|main|INFO |xiyj.ths.App2  |run01     #27| index 7, date : Tue Mar 27 12:38:50 MDT 2018
20180327 122950.586|main|INFO |xiyj.ths.App2  |run01     #27| index 8, date : Tue Mar 27 12:38:50 MDT 2018
20180327 122950.586|main|INFO |xiyj.ths.App2  |run01     #27| index 9, date : Tue Mar 27 12:38:50 MDT 2018
20180327 122950.586|main|INFO |xiyj.ths.App2  |run01     #29| xxx
20180327 122950.586|main|INFO |xiyj.ths.App2  |run01     #30| xxx
20180327 122950.587|main|INFO |xiyj.ths.App2  |run01     #31| xxx
20180327 122950.587|main|INFO |xiyj.ths.App2  |run01     #32| xxx
20180327 122950.587|main|INFO |xiyj.ths.App2  |run01     #33| xxx
20180327 122950.587|main|INFO |xiyj.ths.App2  |run01     #34| xxx
20180327 122950.587|main|INFO |xiyj.ths.App2  |run01     #35| xxx
20180327 122950.588|main|INFO |xiyj.ths.App2  |run01     #36| xxx
20180327 122950.588|main|INFO |xiyj.ths.App2  |run01     #37| xxx
20180327 122950.588|main|INFO |xiyj.ths.App2  |run01     #39| db worker exit
20180327 123134.100|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 123134.103|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 123134.104|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 123134.104|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 1522175554104
20180327 123134.104|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 1522175614104
20180327 123134.104|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 1522175674104
20180327 123134.105|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 1522175734104
20180327 123134.105|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 1522175794104
20180327 123134.105|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 1522175854104
20180327 123134.105|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 1522175914104
20180327 123134.105|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 1522175974104
20180327 123134.105|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 1522176034104
20180327 123134.106|main|INFO |xiyj.ths.App2  |run01     #24| sleep wait and loop until hit one point in tradingMinutes
20180327 123134.106|main|INFO |xiyj.ths.App2  |run01     #27| index 0, date : Tue Mar 27 12:40:34 MDT 2018
20180327 123134.106|main|INFO |xiyj.ths.App2  |run01     #27| index 1, date : Tue Mar 27 12:40:34 MDT 2018
20180327 123134.106|main|INFO |xiyj.ths.App2  |run01     #27| index 2, date : Tue Mar 27 12:40:34 MDT 2018
20180327 123134.107|main|INFO |xiyj.ths.App2  |run01     #27| index 3, date : Tue Mar 27 12:40:34 MDT 2018
20180327 123134.107|main|INFO |xiyj.ths.App2  |run01     #27| index 4, date : Tue Mar 27 12:40:34 MDT 2018
20180327 123134.107|main|INFO |xiyj.ths.App2  |run01     #27| index 5, date : Tue Mar 27 12:40:34 MDT 2018
20180327 123134.107|main|INFO |xiyj.ths.App2  |run01     #27| index 6, date : Tue Mar 27 12:40:34 MDT 2018
20180327 123134.107|main|INFO |xiyj.ths.App2  |run01     #27| index 7, date : Tue Mar 27 12:40:34 MDT 2018
20180327 123134.108|main|INFO |xiyj.ths.App2  |run01     #27| index 8, date : Tue Mar 27 12:40:34 MDT 2018
20180327 123134.108|main|INFO |xiyj.ths.App2  |run01     #27| index 9, date : Tue Mar 27 12:40:34 MDT 2018
20180327 123134.108|main|INFO |xiyj.ths.App2  |run01     #29| xxx
20180327 123134.108|main|INFO |xiyj.ths.App2  |run01     #30| xxx
20180327 123134.109|main|INFO |xiyj.ths.App2  |run01     #31| xxx
20180327 123134.109|main|INFO |xiyj.ths.App2  |run01     #32| xxx
20180327 123134.109|main|INFO |xiyj.ths.App2  |run01     #33| xxx
20180327 123134.109|main|INFO |xiyj.ths.App2  |run01     #34| xxx
20180327 123134.109|main|INFO |xiyj.ths.App2  |run01     #35| xxx
20180327 123134.109|main|INFO |xiyj.ths.App2  |run01     #36| xxx
20180327 123134.109|main|INFO |xiyj.ths.App2  |run01     #37| xxx
20180327 123134.110|main|INFO |xiyj.ths.App2  |run01     #39| db worker exit
20180327 123337.955|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 123337.959|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 123337.960|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 123337.960|main|INFO |xiyj.ths.App2  |run01     #24| sleep wait and loop until hit one point in tradingMinutes
20180327 123337.960|main|INFO |xiyj.ths.App2  |run01     #27| index 0, date : Tue Mar 27 12:33:37 MDT 2018
20180327 123337.960|main|INFO |xiyj.ths.App2  |run01     #27| index 1, date : Tue Mar 27 12:34:37 MDT 2018
20180327 123337.961|main|INFO |xiyj.ths.App2  |run01     #27| index 2, date : Tue Mar 27 12:35:37 MDT 2018
20180327 123337.961|main|INFO |xiyj.ths.App2  |run01     #27| index 3, date : Tue Mar 27 12:36:37 MDT 2018
20180327 123337.961|main|INFO |xiyj.ths.App2  |run01     #27| index 4, date : Tue Mar 27 12:37:37 MDT 2018
20180327 123337.961|main|INFO |xiyj.ths.App2  |run01     #27| index 5, date : Tue Mar 27 12:38:37 MDT 2018
20180327 123337.961|main|INFO |xiyj.ths.App2  |run01     #27| index 6, date : Tue Mar 27 12:39:37 MDT 2018
20180327 123337.961|main|INFO |xiyj.ths.App2  |run01     #27| index 7, date : Tue Mar 27 12:40:37 MDT 2018
20180327 123337.962|main|INFO |xiyj.ths.App2  |run01     #27| index 8, date : Tue Mar 27 12:41:37 MDT 2018
20180327 123337.962|main|INFO |xiyj.ths.App2  |run01     #27| index 9, date : Tue Mar 27 12:42:37 MDT 2018
20180327 123337.962|main|INFO |xiyj.ths.App2  |run01     #29| xxx
20180327 123337.962|main|INFO |xiyj.ths.App2  |run01     #30| xxx
20180327 123337.962|main|INFO |xiyj.ths.App2  |run01     #31| xxx
20180327 123337.962|main|INFO |xiyj.ths.App2  |run01     #32| xxx
20180327 123337.962|main|INFO |xiyj.ths.App2  |run01     #33| xxx
20180327 123337.963|main|INFO |xiyj.ths.App2  |run01     #34| xxx
20180327 123337.963|main|INFO |xiyj.ths.App2  |run01     #35| xxx
20180327 123337.963|main|INFO |xiyj.ths.App2  |run01     #36| xxx
20180327 123337.963|main|INFO |xiyj.ths.App2  |run01     #37| xxx
20180327 123337.963|main|INFO |xiyj.ths.App2  |run01     #39| db worker exit
20180327 123459.474|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 123459.477|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 123459.478|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 123459.478|main|INFO |xiyj.ths.App2  |run01     #24| sleep wait and loop until hit one point in tradingMinutes
20180327 123459.478|main|INFO |xiyj.ths.App2  |run01     #27| index 0, date : Tue Mar 27 12:34:59 MDT 2018
20180327 123459.478|main|INFO |xiyj.ths.App2  |run01     #27| index 1, date : Wed Feb 11 00:19:00 MST 1970
20180327 123459.478|main|INFO |xiyj.ths.App2  |run01     #27| index 2, date : Wed Feb 11 00:20:00 MST 1970
20180327 123459.479|main|INFO |xiyj.ths.App2  |run01     #27| index 3, date : Wed Feb 11 00:21:00 MST 1970
20180327 123459.479|main|INFO |xiyj.ths.App2  |run01     #27| index 4, date : Wed Feb 11 00:22:00 MST 1970
20180327 123459.479|main|INFO |xiyj.ths.App2  |run01     #27| index 5, date : Wed Feb 11 00:23:00 MST 1970
20180327 123459.479|main|INFO |xiyj.ths.App2  |run01     #27| index 6, date : Wed Feb 11 00:24:00 MST 1970
20180327 123459.479|main|INFO |xiyj.ths.App2  |run01     #27| index 7, date : Wed Feb 11 00:25:00 MST 1970
20180327 123459.479|main|INFO |xiyj.ths.App2  |run01     #27| index 8, date : Wed Feb 11 00:26:00 MST 1970
20180327 123459.480|main|INFO |xiyj.ths.App2  |run01     #27| index 9, date : Wed Feb 11 00:27:00 MST 1970
20180327 123459.480|main|INFO |xiyj.ths.App2  |run01     #29| xxx
20180327 123459.480|main|INFO |xiyj.ths.App2  |run01     #30| xxx
20180327 123459.480|main|INFO |xiyj.ths.App2  |run01     #31| xxx
20180327 123459.481|main|INFO |xiyj.ths.App2  |run01     #32| xxx
20180327 123459.481|main|INFO |xiyj.ths.App2  |run01     #33| xxx
20180327 123459.481|main|INFO |xiyj.ths.App2  |run01     #34| xxx
20180327 123459.481|main|INFO |xiyj.ths.App2  |run01     #35| xxx
20180327 123459.481|main|INFO |xiyj.ths.App2  |run01     #36| xxx
20180327 123459.481|main|INFO |xiyj.ths.App2  |run01     #37| xxx
20180327 123459.481|main|INFO |xiyj.ths.App2  |run01     #39| db worker exit
20180327 123542.424|main|INFO |xiyj.ths.App2  |run01     #15| Entering....
20180327 123542.427|main|INFO |xiyj.ths.App2  |run01     #17| start long run dbWorker backend thread for DB/table connection/query/update
20180327 123542.428|main|INFO |xiyj.ths.App2  |run01     #20| wait for dbWorker thread populate ordered oneMinues list
20180327 123542.428|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2545680000
20180327 123542.428|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2545740000
20180327 123542.429|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2545800000
20180327 123542.429|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2545860000
20180327 123542.429|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2545920000
20180327 123542.429|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2545980000
20180327 123542.429|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2546040000
20180327 123542.430|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2546100000
20180327 123542.430|main|INFO |x.ths.DbWorker |getTradingMinutes#26| curr : 2546160000
